stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
LIVBULW,1086,E LIVINGSTON AVE & BULEN AVE,,39.948836,-82.951647
HIGRUSN,1178,N HIGH ST & E RUSSELL ST,,39.975825,-83.003188
HIGBUTN,1179,N HIGH ST & BUTTLES AVE,,39.977556,-83.00353
HIG2NDN,1182,N HIGH ST & E 2ND AVE,,39.983318,-83.004658
HIG4THN,1183,N HIGH ST & E 4TH AVE,,39.985183,-83.005031
HIG5THN,1184,N HIGH ST & E 5TH AVE,,39.987609,-83.005524
HIG6THN,1185,N HIGH ST & E 6TH AVE,,39.989174,-83.005819
HIGEUCN,1186,N HIGH ST & EUCLID AVE,,39.991224,-83.006225
HIGCHIN,1188,N HIGH ST & CHITTENDEN AVE,,39.99602,-83.007178
HIG13TN,1189,N HIGH ST & E 13TH AVE,,39.997729,-83.007506
HIG15TN,1190,N HIGH ST & E 15TH AVE,,40.000285,-83.007989
HIGWOON,1192,N HIGH ST & W WOODRUFF AVE,,40.003566,-83.008642
HIGSTAS,1251,S HIGH ST & W STATE ST,,39.960285,-83.000381
HIG15TS,1295,N HIGH ST & E 15TH AVE,,39.999731,-83.008093
HIG13TS,1296,N HIGH ST & E 13TH AVE,,39.998105,-83.00777
HIGCHIS,1297,N HIGH ST & CHITTENDEN AVE,,39.995901,-83.007325
HIG10TS,1298,N HIGH ST & W 10TH AVE,,39.993781,-83.006902
HIGKINS,1300,N HIGH ST & KING AVE,,39.990316,-83.00623
HIGCLAS,1301,N HIGH ST & CLARK PL,,39.988966,-83.005955
HIG5THS,1302,N HIGH ST & W 5TH AVE,,39.986763,-83.005527
HIG4THS,1303,N HIGH ST & W 4TH AVE,,39.98496,-83.005203
HIGSTARS,1304,N HIGH ST & W STARR AVE,,39.983037,-83.004829
HIGPRIS,1305,N HIGH ST & PRICE AVE,,39.980398,-83.004296
HIGHUBS,1306,N HIGH ST & W HUBBARD AVE,,39.978538,-83.003938
